"Grade","Ounce","Gram","Inch","mm","PPO"
TriBall,0.7199,20,0.60,15.24,1
Talha,0.1943,1,0.38,9.40,5
SaLT,0.1601,2,0.36,9.14,6
TriBall,0.7199,3,0.60,15.24,1
Talha,0.1943,4,0.38,9.40,5
SaLT,0.1601,5,0.36,9.14,6
TriBall,0.7199,6,0.60,15.24,1
Talha,0.1943,7,0.38,9.40,5
SaLT,0.1601,8,0.36,9.14,6
TriBall,0.7199,9,0.60,15.24,1
Talha,0.1943,10,0.38,9.40,5
SaLT,0.1601,11,0.36,9.14,6
TriBall,0.7199,20,0.60,15.24,1
Talha,0.1943,1,0.38,9.40,5
SaLT,0.1601,2,0.36,9.14,6
TriBall,0.7199,3,0.60,15.24,1
Talha,0.1943,4,0.38,9.40,5
SaLT,0.1601,5,0.36,9.14,6
TriBall,0.7199,6,0.60,15.24,1
Talha,0.1943,7,0.38,9.40,5
SaLT,0.1601,8,0.36,9.14,6
TriBall,0.7199,9,0.60,15.24,1
Talha,0.1943,10,0.38,9.40,5
SaLT,0.1601,11,0.36,9.14,6
TriBall,0.7199,20,0.60,15.24,1
Talha,0.1943,1,0.38,9.40,5
SaLT,0.1601,2,0.36,9.14,6
TriBall,0.7199,3,0.60,15.24,1
Talha,0.1943,4,0.38,9.40,5
SaLT,0.1601,5,0.36,9.14,6
TriBall,0.7199,6,0.60,15.24,1
Talha,0.1943,7,0.38,9.40,5
SaLT,0.1601,8,0.36,9.14,6
TriBall,0.7199,9,0.60,15.24,1
Talha,0.1943,10,0.38,9.40,5
SaLT,0.1601,11,0.36,9.14,6
TriBall,0.7199,20,0.60,15.24,1
Talha,0.1943,1,0.38,9.40,5
SaLT,0.1601,2,0.36,9.14,6
TriBall,0.7199,3,0.60,15.24,1
Talha,0.1943,4,0.38,9.40,5
SaLT,0.1601,5,0.36,9.14,6
TriBall,0.7199,6,0.60,15.24,1
Talha,0.1943,7,0.38,9.40,5
SaLT,0.1601,8,0.36,9.14,6
TriBall,0.7199,9,0.60,15.24,1
Talha,0.1943,10,0.38,9.40,5
SaLT,0.1601,11,0.36,9.14,6
TriBall,0.7199,20,0.60,15.24,1
Talha,0.1943,1,0.38,9.40,5
SaLT,0.1601,2,0.36,9.14,6
TriBall,0.7199,3,0.60,15.24,1
Talha,0.1943,4,0.38,9.40,5
SaLT,0.1601,5,0.36,9.14,6
TriBall,0.7199,6,0.60,15.24,1
Talha,0.1943,7,0.38,9.40,5
SaLT,0.1601,8,0.36,9.14,6
TriBall,0.7199,9,0.60,15.24,1
Talha,0.1943,10,0.38,9.40,5
SaLT,0.1601,11,0.36,9.14,6
TriBall,0.7199,20,0.60,15.24,1
Talha,0.1943,1,0.38,9.40,5
SaLT,0.1601,2,0.36,9.14,6
TriBall,0.7199,3,0.60,15.24,1
Talha,0.1943,4,0.38,9.40,5
SaLT,0.1601,5,0.36,9.14,6
TriBall,0.7199,6,0.60,15.24,1
Talha,0.1943,7,0.38,9.40,5
SaLT,0.1601,8,0.36,9.14,6
TriBall,0.7199,9,0.60,15.24,1
Talha,0.1943,10,0.38,9.40,5
SaLT,0.1601,11,0.36,9.14,6
